"""Entry ID"",""Collection Temperature"",""Experimental Method"",""Matthews Coefficient"",""Percent Solvent Content"",""Crystallization Method"",""pH"",""Crystal Growth Procedure"",""Temp (K)"",""Deposition Date"",""PDB ID"",""Resolution (Å)"",""Average B Factor"",""R Free"",""R Work"",""R All"",""R Observed"",""High Resolution Limit"",""Reflections For Refinement"",""Structure Determination Method"",";;
"5RVK,100,""X-RAY DIFFRACTION"",2.05,39.93,""VAPOR DIFFUSION, HANGING DROP"",8.5,""100 mM TRIS, 50 mM sodium acetate, 28% PEG 4000"",293,""2020-10-02"",""5RVK"",""1.46"",29.9733,0.1946,0.1533,,0.1553,1.46,26265,""MOLECULAR REPLACEMENT"",";;
"5RVN,100,""X-RAY DIFFRACTION"",1.97,37.72,""VAPOR DIFFUSION, HANGING DROP"",8.5,""100 mM TRIS, 50 mM sodium acetate, 28% PEG 4000"",293,""2020-10-02"",""5RVN"",""1.26"",23.8911,0.187,0.159,,0.1604,1.26,38244,""MOLECULAR REPLACEMENT"",";;
"5RVM,100,""X-RAY DIFFRACTION"",2.05,40.01,""VAPOR DIFFUSION, HANGING DROP"",8.5,""100 mM TRIS, 50 mM sodium acetate, 28% PEG 4000"",293,""2020-10-02"",""5RVM"",""1.03"",13.1559,0.1553,0.1328,,0.1338,1.03,58026,""MOLECULAR REPLACEMENT"",";;
"5RVP,100,""X-RAY DIFFRACTION"",2.04,39.73,""VAPOR DIFFUSION, HANGING DROP"",8.5,""100 mM TRIS, 50 mM sodium acetate, 28% PEG 4000"",293,""2020-10-02"",""5RVP"",""1.04"",12.6291,0.1419,0.1307,,0.1313,1.04,53054,""MOLECULAR REPLACEMENT"",";;
"5RW1,100,""X-RAY DIFFRACTION"",2.44,49.53,""VAPOR DIFFUSION, SITTING DROP"",7.1,""0.1M Hepes, 0.1M Magnesium chloride, 20% PEG 6K, 10% ethylene glycol"",293,""2020-10-27"",""5RW1"",""1.52"",18.703,0.1895,0.1641,,0.1654,1.52,194125,""FOURIER SYNTHESIS"",";;
"5RVO,100,""X-RAY DIFFRACTION"",1.99,38.26,""VAPOR DIFFUSION, HANGING DROP"",8.5,""100 mM TRIS, 50 mM sodium acetate, 28% PEG 4000"",293,""2020-10-02"",""5RVO"",""1.52"",29.1792,0.2119,0.1598,,0.1624,1.52,22336,""MOLECULAR REPLACEMENT"",";;
"5RW0,100,""X-RAY DIFFRACTION"",2.42,49.22,""VAPOR DIFFUSION, SITTING DROP"",7.1,""0.1M Hepes, 0.1M Magnesium chloride, 20% PEG 6K, 10% ethylene glycol"",293,""2020-10-27"",""5RW0"",""1.673"",24.93,0.1871,0.1609,,0.1623,1.673,129407,""FOURIER SYNTHESIS"",";;
"5RVB,100,""X-RAY DIFFRACTION"",2.15,42.66,""VAPOR DIFFUSION, HANGING DROP"",9.5,""100 mM CHES, 28% PEG 3000"",293,""2020-09-28"",""5RVB"",""1"",19.6901,0.164,0.1489,,0.1496,1,164547,""MOLECULAR REPLACEMENT"",";;
"5RVA,100,""X-RAY DIFFRACTION"",2.14,42.49,""VAPOR DIFFUSION, HANGING DROP"",9.5,""100 mM CHES, 28% PEG 3000"",293,""2020-09-28"",""5RVA"",""1"",18.4229,0.1651,0.1507,,0.1514,1,163578,""MOLECULAR REPLACEMENT"",";;
"5RVD,100,""X-RAY DIFFRACTION"",2.12,41.97,""VAPOR DIFFUSION, HANGING DROP"",9.5,""100 mM CHES, 28% PEG 3000"",293,""2020-09-28"",""5RVD"",""1"",20.0216,0.1981,0.1843,,0.1849,1,162673,""MOLECULAR REPLACEMENT"",";;
"5RVC,100,""X-RAY DIFFRACTION"",2.13,42.39,""VAPOR DIFFUSION, HANGING DROP"",9.5,""100 mM CHES, 28% PEG 3000"",293,""2020-09-28"",""5RVC"",""1"",17.5428,0.1557,0.1423,,0.143,1,164089,""MOLECULAR REPLACEMENT"",";;
"5RVF,100,""X-RAY DIFFRACTION"",2.14,42.49,""VAPOR DIFFUSION, HANGING DROP"",9.5,""100 mM CHES, 28% PEG 3000"",293,""2020-09-28"",""5RVF"",""1"",18.0555,0.1734,0.1623,,0.1629,1,163809,""MOLECULAR REPLACEMENT"",";;
